Time,SP,block,EPEX_DA_half-hourly  [GBP/MWh],SSP [GBP/MWh],DCL [GBP/MW/h],DCH [GBP/MW/h]
01/04/2022 00:00,1,1,234,175.71274,1.7,1.7
01/04/2022 00:30,2,1,220,178.12332,1.7,1.7
01/04/2022 01:00,3,1,200.8,180,1.7,1.7
01/04/2022 01:30,4,1,242,165,1.7,1.7
01/04/2022 02:00,5,1,226,175.01,1.7,1.7
01/04/2022 02:30,6,1,210,180,1.7,1.7
01/04/2022 03:00,7,2,215,270,8.96,6.5
01/04/2022 03:30,8,2,199.3,280,8.96,6.5
01/04/2022 04:00,9,2,214.5,270,8.96,6.5
01/04/2022 04:30,10,2,203.3,270,8.96,6.5
01/04/2022 05:00,11,2,211.2,260,8.96,6.5
01/04/2022 05:30,12,2,214,316,8.96,6.5
01/04/2022 06:00,13,2,220,316,8.96,6.5
01/04/2022 06:30,14,2,225,316,8.96,6.5
01/04/2022 07:00,15,3,198,339,4.89,0.93
01/04/2022 07:30,16,3,316.7,494.23,4.89,0.93
01/04/2022 08:00,17,3,321.3,390,4.89,0.93
01/04/2022 08:30,18,3,311.4,339,4.89,0.93
01/04/2022 09:00,19,3,305.6,186,4.89,0.93
01/04/2022 09:30,20,3,282.8,339,4.89,0.93
01/04/2022 10:00,21,3,298,330,4.89,0.93
01/04/2022 10:30,22,3,274,316,4.89,0.93
01/04/2022 11:00,23,4,266.6,330,1.5,0.25
01/04/2022 11:30,24,4,262,316,1.5,0.25
01/04/2022 12:00,25,4,259.5,339,1.5,0.25
01/04/2022 12:30,26,4,246.4,335,1.5,0.25
01/04/2022 13:00,27,4,236.1,316,1.5,0.25
01/04/2022 13:30,28,4,211,309,1.5,0.25
01/04/2022 14:00,29,4,215,309,1.5,0.25
01/04/2022 14:30,30,4,212,191,1.5,0.25
01/04/2022 15:00,31,5,203,191,47.99,0.58
01/04/2022 15:30,32,5,239,191,47.99,0.58
01/04/2022 16:00,33,5,210,191,47.99,0.58
01/04/2022 16:30,34,5,233.45,191,47.99,0.58
01/04/2022 17:00,35,5,220,189.1,47.99,0.58
01/04/2022 17:30,36,5,262.4,191.5,47.99,0.58
01/04/2022 18:00,37,5,296,191,47.99,0.58
01/04/2022 18:30,38,5,312.1,369,47.99,0.58
01/04/2022 19:00,39,6,311.4,215,1.13,0.58
01/04/2022 19:30,40,6,316.6,369,1.13,0.58
01/04/2022 20:00,41,6,323.2,368,1.13,0.58
01/04/2022 20:30,42,6,276.8,191,1.13,0.58
01/04/2022 21:00,43,6,273.1,191,1.13,0.58
01/04/2022 21:30,44,6,267.8,187.1,1.13,0.58
01/04/2022 22:00,45,6,245,187.1,1.13,0.58
01/04/2022 22:30,46,6,235,276,1.13,0.58
01/04/2022 23:00,47,1,260.6,246,0.56,0.62
01/04/2022 23:30,48,1,260.9,363,0.56,0.62
